date,latitude,longitude,nummosquitos,wnvpresent,tmax,tmin,tavg,depart,dewpoint,wetbulb,heat,cool,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,daylightmins,tminsq,tmaxsq,tavgsq,departsq,wetbulbsq,heatsq,coolsq,preciptotalsq,resultspeedsq,resultdirsq,avgspeedsq,daylightminssq,species_CULEX PIPIENS,species_CULEX PIPIENS/RESTUANS,species_CULEX RESTUANS,species_OTHERS
2007-05-29,41.95469,-87.800991,1,0,88.0,60.0,74.0,10.0,58.0,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18.0,6.5,896.0,3600.0,7744.0,5476.0,100.0,4225.0,0.0,81.0,0.0,33.64,324.0,42.25,802816.0,0,1,0,0
2007-05-29,41.95469,-87.800991,1,0,88.0,60.0,74.0,10.0,58.0,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18.0,6.5,896.0,3600.0,7744.0,5476.0,100.0,4225.0,0.0,81.0,0.0,33.64,324.0,42.25,802816.0,0,0,1,0
2007-05-29,41.994991,-87.769279,1,0,88.0,60.0,74.0,10.0,58.0,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18.0,6.5,896.0,3600.0,7744.0,5476.0,100.0,4225.0,0.0,81.0,0.0,33.64,324.0,42.25,802816.0,0,0,1,0
2007-05-29,41.974089,-87.824812,1,0,88.0,60.0,74.0,10.0,58.0,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18.0,6.5,896.0,3600.0,7744.0,5476.0,100.0,4225.0,0.0,81.0,0.0,33.64,324.0,42.25,802816.0,0,1,0,0
2007-05-29,41.974089,-87.824812,4,0,88.0,60.0,74.0,10.0,58.0,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18.0,6.5,896.0,3600.0,7744.0,5476.0,100.0,4225.0,0.0,81.0,0.0,33.64,324.0,42.25,802816.0,0,0,1,0
2007-05-29,41.9216,-87.666455,2,0,88.0,60.0,74.0,10.0,58.0,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18.0,6.5,896.0,3600.0,7744.0,5476.0,100.0,4225.0,0.0,81.0,0.0,33.64,324.0,42.25,802816.0,0,0,1,0
2007-05-29,41.891118,-87.654491,1,0,88.0,60.0,74.0,10.0,58.0,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18.0,6.5,896.0,3600.0,7744.0,5476.0,100.0,4225.0,0.0,81.0,0.0,33.64,324.0,42.25,802816.0,0,0,1,0
2007-05-29,41.867108,-87.654224,1,0,88.0,60.0,74.0,10.0,58.0,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18.0,6.5,896.0,3600.0,7744.0,5476.0,100.0,4225.0,0.0,81.0,0.0,33.64,324.0,42.25,802816.0,0,1,0,0
2007-05-29,41.867108,-87.654224,2,0,88.0,60.0,74.0,10.0,58.0,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18.0,6.5,896.0,3600.0,7744.0,5476.0,100.0,4225.0,0.0,81.0,0.0,33.64,324.0,42.25,802816.0,0,0,1,0
2007-05-29,41.896282,-87.655232,1,0,88.0,60.0,74.0,10.0,58.0,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18.0,6.5,896.0,3600.0,7744.0,5476.0,100.0,4225.0,0.0,81.0,0.0,33.64,324.0,42.25,802816.0,0,0,1,0
